div;name;class
E0;England Premier League;1
E1;England Championship League;2
E2;England Football League One;3
E3;England Football League Two;3
EC;England National League;3
SC0;Scottish Premiership;1
SC1;Scottish Championship;2
SC2;Scottish League One;3
SC3;Scottish League Two;3
D1;German Bundesliga;1
D2;German 2. Bundesliga;2
SP1;Spain La Liga;1
SP2;Spain Segunda Division;2
I1;Italy Serie A;1
I2;Italy Serie B;2
F1;France Ligue 1;1
F2;France Ligue 2;2
N1;Dutch Eredivisie;1
B1;Belgian First Division A;4
P1;Portugal Primeira Liga;1
T1;Turkey SŸper Lig;1
G1;Greek Super League;1
Argentina Superliga;Argentina Superliga;4
Austria Tipico Bundesliga;Austria Tipico Bundesliga;4
Brazil Serie A;Brazil Serie A;1
China Super League;China Super League;4
Denmark Superliga;Denmark Superliga;4
Finland Veikkausliiga;Finland Veikkausliiga;4
Ireland Premier Division;Ireland Premier Division;4
Japan J-League;Japan J-League;4
Japan J1 League;Japan J1 League;2
Mexico Liga MX;Mexico Liga MX;4
Norway Eliteserien;Norway Eliteserien;4
Poland Ekstraklasa;Poland Ekstraklasa;1
Romania Liga 1;Romania Liga 1;1
Russia Premier League;Russia Premier League;1
Sweden Allsvenskan;Sweden Allsvenskan;1
Switzerland Super League;Switzerland Super League;1
USA MLS;USA MLS;4
