div,name
E0,England Premier League
E1,England Championship League
E2,England Football League One
E3,England Football League Two
EC,England National League
SC0,Scottish Premiership
SC1,Scottish Championship
SC2,Scottish League One
SC3,Scottish League Two
D1,German Bundesliga
D2,German 2. Bundesliga
SP1,Spain La Liga
SP2,Spain Segunda Division
I1,Italy Serie A
I2,Italy Serie B
F1,France Ligue 1
F2,France Ligue 2
N1,Dutch Eredivisie
B1,Belgian First Division A
P1,Portugal Primeira Liga
T1,Turkey Süper Lig
G1,Greek Super League
Argentina Superliga,Argentina Superliga
Austria Tipico Bundesliga,Austria Tipico Bundesliga
Brazil Serie A,Brazil Serie A
China Super League,China Super League
Denmark Superliga,Denmark Superliga
Finland Veikkausliiga,Finland Veikkausliiga
Ireland Premier Division,Ireland Premier Division
Japan J-League,Japan J-League
Japan J1 League,Japan J1 League
Mexico Liga MX,Mexico Liga MX
Norway Eliteserien,Norway Eliteserien
Poland Ekstraklasa,Poland Ekstraklasa
Romania Liga 1,Romania Liga 1
Russia Premier League,Russia Premier League
Sweden Allsvenskan,Sweden Allsvenskan
Switzerland Super League,Switzerland Super League
USA MLS,USA MLS
